"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BANK1"	"CTSW"	"ARL8B"	"BCL2A1"	"ARL8B"	"CD84"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"ARL8B"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BLK"	"DUSP2"	"BCL2A1"	"CAMP"	"BCL2A1"	"CXCL3"	"CCR5"	"CLC"	"AIM2"	"BIN2"	"CCR2"	"CCR7"	"CCL19"	"CAMP"	"ARL8B"	"CAMP"	"CDH5"	"COL14A1"
"CD19"	"EOMES"	"CCDC88A"	"CCR1"	"CAMP"	"KLRG1"	"CD2"	"CLEC4E"	"ARHGAP15"	"CASP8"	"CCR3"	"CD2"	"CCL22"	"CCDC88A"	"CCR2"	"CCDC88A"	"EMCN"	"COL3A1"
"CD1C"	"GZMA"	"CCL19"	"CCR3"	"CCDC88A"	"LCP2"	"CD244"	"CSF2RB"	"BATF"	"CCR5"	"CCR5"	"CD247"	"CCL24"	"CCL8"	"CD1E"	"CD19"	"ERG"	"DCN"
"CD37"	"GZMH"	"CCL22"	"CD69"	"CCL19"	"MMP9"	"CD247"	"CSF3R"	"BCL11B"	"CCR7"	"CD2"	"CD27"	"CCL8"	"CFP"	"CD244"	"CD27"	"KDR"	"GREM1"
"CD53"	"KLRB1"	"CCL24"	"CLC"	"CCL22"	"PTGDR"	"CRTAM"	"CXCR2"	"CASP8"	"CD2"	"CD244"	"CD37"	"CCR1"	"CLEC10A"	"CD37"	"CD38"	"RAMP3"	"ISLR"
"CD69"	"KLRD1"	"CCL8"	"CSF2RB"	"CCL24"	"SAMSN1"	"CST7"	"FAM65B"	"CCR2"	"CD247"	"CD247"	"CD3D"	"CCR7"	"CLEC4A"	"CFP"	"CD79A"	"TFEC"	"ITIH3"
"CD79A"	"KLRF1"	"CCR2"	"DPEP2"	"CCL8"	"STAP1"	"CTSW"	"FCAR"	"CCR7"	"CD27"	"CD300A"	"CD3E"	"CD38"	"FGR"	"CLEC10A"	"CD79B"	""	"LMOD1"
"CD79B"	"KLRK1"	"CCR5"	"EMR3"	"CCR1"	""	"CXCR6"	"FCGR3B"	"CD2"	"CD300A"	"CD3D"	"CD5"	"CD40"	"HCK"	"CLEC4A"	"DOK3"	""	"SGCD"
"CD80"	"NKG7"	"CCR7"	"GPR183"	"CD80"	""	"EOMES"	"FPR2"	"CD247"	"CD3D"	"CD96"	"CD7"	"CD80"	"HLA-DQA1"	"CLEC4E"	"ENTPD1"	""	"TCF21"
