"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BLK"	"CTSW"	"ADPGK"	"BCL2A1"	"ATG7"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR3"	"CCL22"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"CD19"	"DUSP2"	"BCL2A1"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CCR7"	"CCL24"	"CAMP"	"C5AR1"	"CAMP"	"ERG"	"DCN"
"CD1C"	"EOMES"	"BIRC3"	"CCL4"	"C5AR1"	"CXCL3"	"CCR5"	"CLEC4E"	"ARHGAP15"	"CCL4"	"CCR2"	"CD2"	"CCL4"	"CCDC88A"	"CCR2"	"CCDC88A"	"RAMP3"	"ISLR"
"CD37"	"GZMA"	"CCDC88A"	"CCR1"	"CAMP"	"KLRG1"	"CD2"	"CSF2RB"	"BATF"	"CCR5"	"CCR3"	"CD247"	"CCL8"	"CCL8"	"CD1E"	"CD19"	""	"ITIH3"
"CD53"	"GZMH"	"CCL22"	"CCR3"	"CCDC88A"	"LCP2"	"CD244"	"CSF3R"	"BCL11B"	"CCR7"	"CCR5"	"CD27"	"CCR1"	"CFP"	"CD244"	"CD27"	""	"TCF21"
"CD69"	"KLRB1"	"CCL24"	"CD69"	"CCL22"	"MMP9"	"CD247"	"CXCR1"	"CCL4"	"CD2"	"CD2"	"CD37"	"CCR7"	"CLEC10A"	"CD37"	"CD38"	""	"WISP1"
"CD79A"	"KLRD1"	"CCL4"	"CSF2RB"	"CCL24"	"PTGDR"	"CRTAM"	"CXCR2"	"CCR2"	"CD247"	"CD244"	"CD3E"	"CD38"	"CLEC4A"	"CFP"	"CD79A"	""	""
"CD79B"	"KLRK1"	"CCL8"	"DPEP2"	"CCL8"	"SAMSN1"	"CST7"	"FAM65B"	"CCR7"	"CD27"	"CD247"	"CD5"	"CD80"	"FGR"	"CLEC10A"	"CD79B"	""	""
"CD80"	"NKG7"	"CCR2"	"EMR3"	"CCR1"	"STAP1"	"CTSW"	"FCAR"	"CD2"	"CD300A"	"CD300A"	"CD7"	"CD84"	"HCK"	"CLEC4A"	"DOK3"	""	""
"CR1"	"RUNX3"	"CCR5"	"FCER1A"	"CD80"	""	"CXCR6"	"FCGR3B"	"CD247"	"CD3E"	"CD96"	"CTLA4"	"CLEC4E"	"HLA-DQA1"	"CLEC4E"	"ENTPD1"	""	""
"FAIM3"	""	"CCR7"	"GMIP"	"CD84"	""	"EOMES"	"FPR1"	"CD27"	"CD3G"	"CST7"	"CXCR6"	"CSF1R"	"ITGAX"	"CLEC7A"	"FCRL2"	""	""
"FAM65B"	""	"CD1B"	"GPR183"	"CHI3L1"	""	"FASLG"	"FPR2"	"CD37"	"CD7"	"CTLA4"	"FAIM3"	"CXCL9"	"LILRA2"	"CSF1R"	"HSPA6"	""	""
"FCAR"	""	"CD1C"	"GPR65"	"CLEC4E"	""	"GZMA"	"HCK"	"CD3E"	"CD8B"	"CXCR6"	"GPR171"	"CYBB"	"MMP19"	"CSF3R"	"IRF4"	""	""
"FCRL2"	""	"CD1E"	"LRMP"	"CSF1R"	""	"GZMB"	"HPSE"	"CD3G"	"CD96"	"FASLG"	"HS3ST3B1"	"FPR2"	"MMP9"	"CXCR2"	"KIAA0125"	""	""
"GMIP"	""	"CD209"	"NCF2"	"CXCL5"	""	"GZMH"	"HSPA6"	"CD5"	"CRTAM"	"GMIP"	"ICOS"	"FPR3"	"MS4A6A"	"CYBB"	"PNOC"	""	""
