"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BCL11A"	"CTSW"	"BCL2A1"	"BCL2A1"	"ACTR2"	"CCL4"	"APOBEC3G"	"BCL2A1"	"ACAP1"	"BCL11B"	"APOBEC3G"	"CCR7"	"ACTR2"	"AIF1"	"AIF1"	"BMP8B"	"CD93"	"ABCA6"
"BLK"	"DUSP2"	"BIRC3"	"CAMP"	"BCL2A1"	"CD84"	"CCL4"	"C5AR1"	"AIM2"	"BIN2"	"CCL4"	"CD2"	"BLVRA"	"CAMP"	"C5AR1"	"CAMP"	"CDH5"	"ASPN"
"BMP8B"	"EOMES"	"BLVRA"	"CCL4"	"BHLHE41"	"KLRG1"	"CCR5"	"CLC"	"ARHGAP15"	"CCL4"	"CCR2"	"CD247"	"CCL19"	"CCDC88A"	"CCR2"	"CCDC88A"	"EMCN"	"COL14A1"
"CCL17"	"FGFBP2"	"CCDC88A"	"CCR1"	"BLVRA"	"LCP2"	"CD2"	"CLEC4E"	"BATF"	"CCR5"	"CCR5"	"CD27"	"CCL22"	"CCL13"	"CD244"	"CD19"	"ERG"	"COL3A1"
"CD19"	"GZMA"	"CCL13"	"CD69"	"C5AR1"	"PTGDR"	"CD244"	"CREB5"	"BCL11B"	"CCR7"	"CD2"	"CD37"	"CCL4"	"CCL8"	"CD37"	"CD27"	"KDR"	"DCN"
"CD1A"	"GZMB"	"CCL17"	"CLC"	"CAMP"	"SAMSN1"	"CD247"	"CSF2RB"	"CCL4"	"CD2"	"CD244"	"CD3D"	"CCL8"	"CFP"	"CFP"	"CD38"	"PCDH12"	"GREM1"
"CD1C"	"GZMH"	"CCL19"	"CSF2RB"	"CCDC88A"	""	"CRTAM"	"CSF3R"	"CCR2"	"CD244"	"CD247"	"CD3E"	"CCR1"	"CLEC10A"	"CLEC10A"	"CD79A"	"RAMP3"	"ISLR"
"CD37"	"KLRB1"	"CCL22"	"DPEP2"	"CCL19"	""	"CST7"	"CXCR1"	"CCR7"	"CD247"	"CD300A"	"CD5"	"CCR7"	"CLEC4A"	"CLEC4A"	"CD79B"	"TFEC"	"LMOD1"
"CD69"	"KLRK1"	"CCL4"	"EMR3"	"CCL22"	""	"CTSW"	"CXCR2"	"CD2"	"CD27"	"CD3D"	"CD7"	"CD38"	"FGR"	"CLEC4E"	"CYBA"	""	"PRKG1"
"CD79A"	"NKG7"	"CCL8"	"FCER1A"	"CCL8"	""	"CX3CR1"	"FAM65B"	"CD247"	"CD300A"	"CD96"	"CTLA4"	"CD80"	"HCK"	"CLEC5A"	"DOK3"	""	"SGCD"
