"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BACH2"	"CTSW"	"BCL2A1"	"ABHD2"	"ACTR2"	"AGPS"	"APOBEC3G"	"ACAP2"	"ACAP1"	"BIN2"	"APOBEC3G"	"CCR3"	"ACTR2"	"AIF1"	"ACAP2"	"AMPD1"	"CD93"	"ABCA6"
"BANK1"	"EOMES"	"BCL2L11"	"BCL2A1"	"AGPS"	"CCL4"	"CCL4"	"BCL2A1"	"AIM2"	"CCL4"	"CCL1"	"CCR7"	"AGPS"	"CAMP"	"AIF1"	"CAMP"	"CDH5"	"COL14A1"
"BCL2L11"	"GZMA"	"BIRC3"	"CAMP"	"ATP6V1A"	"CD84"	"CCR5"	"C5AR1"	"ARHGAP15"	"CCR5"	"CCL4"	"CD2"	"ATP6V1A"	"CCDC88A"	"AKAP13"	"CCDC88A"	"EMCN"	"COL3A1"
"BLK"	"GZMH"	"BLVRA"	"CCL4"	"BCL2A1"	"KLRG1"	"CD2"	"CLC"	"CCL4"	"CCR7"	"CCR2"	"CD247"	"BLVRA"	"CCL8"	"BCL2L11"	"CD19"	"ERG"	"DCN"
"BLNK"	"KLRB1"	"CCDC88A"	"CCR1"	"BHLHE41"	"LCP2"	"CD244"	"CLEC4E"	"CCR2"	"CD2"	"CCR3"	"CD27"	"CCL1"	"CFP"	"C5AR1"	"CD27"	"KDR"	"GREM1"
"CCL17"	"KLRD1"	"CCL1"	"CCR3"	"BLVRA"	"MMP9"	"CD247"	"CSF2RB"	"CCR7"	"CD244"	"CCR5"	"CD37"	"CCL19"	"CLEC10A"	"CCR2"	"CD38"	"PCDH12"	"ISLR"
"CD19"	"KLRF1"	"CCL17"	"CD69"	"C5AR1"	"PTGDR"	"CRTAM"	"CSF3R"	"CD2"	"CD247"	"CD2"	"CD3D"	"CCL22"	"CLEC4A"	"CD1E"	"CD79A"	"RAMP3"	"ITIH3"
"CD1C"	"KLRK1"	"CCL19"	"CLC"	"CAMP"	"SAMSN1"	"CST7"	"CXCR1"	"CD247"	"CD27"	"CD244"	"CD3E"	"CCL4"	"COL4A3BP"	"CD244"	"CD79B"	"TFEC"	"LMOD1"
"CD37"	"NKG7"	"CCL22"	"CSF2RB"	"CCDC88A"	"STAP1"	"CTSW"	"CXCR2"	"CD27"	"CD300A"	"CD247"	"CD5"	"CCL8"	"FGR"	"CD37"	"DOK3"	""	"SGCD"
"CD69"	"PRF1"	"CCL4"	"DEFA4"	"CCL1"	"THRAP3"	"CX3CR1"	"FAM65B"	"CD37"	"CD3D"	"CD300A"	"CD7"	"CCR1"	"HCK"	"CFP"	"ENTPD1"	""	"TCF21"
