"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
"BLK"	"CTSW"	"BCL2A1"	"BCL2A1"	"ATG7"	"CD84"	"CCR5"	"BCL2A1"	"ACAP1"	"BCL11B"	"CCR2"	"CCR7"	"CCL19"	"AIF1"	"AIF1"	"AMPD1"	"CD93"	"ABCA6"
"BLNK"	"EOMES"	"CCL17"	"CCR1"	"BCL2A1"	"CXCL3"	"CD2"	"C5AR1"	"AIM2"	"BIN2"	"CCR5"	"CD2"	"CCL22"	"CCL8"	"C5AR1"	"CD19"	"CDH5"	"ASPN"
"CCL17"	"FGFBP2"	"CCL19"	"CD69"	"C5AR1"	"LCP2"	"CD244"	"CLEC4E"	"ARHGAP15"	"CASP8"	"CD2"	"CD247"	"CCL8"	"CFP"	"CCR2"	"CD38"	"EMCN"	"COL14A1"
"CD19"	"GZMA"	"CCL22"	"CSF2RB"	"CCL19"	"MMP9"	"CD247"	"CSF2RB"	"BATF"	"CCR5"	"CD244"	"CD37"	"CCR1"	"CLEC10A"	"CD244"	"CD79A"	"ERG"	"COL3A1"
"CD1C"	"GZMH"	"CCL8"	"DPEP2"	"CCL22"	"PTGDR"	"CRTAM"	"CSF3R"	"BCL11B"	"CCR7"	"CD247"	"CD3D"	"CCR7"	"FGR"	"CD37"	"CD79B"	"KDR"	"DCN"
"CD37"	"KLRB1"	"CCR2"	"GPR183"	"CCL8"	"SAMSN1"	"CST7"	"CXCR1"	"CASP8"	"CD2"	"CD300A"	"CD3E"	"CD38"	"HCK"	"CFP"	"CYBA"	"PCDH12"	"GREM1"
"CD69"	"KLRD1"	"CCR5"	"GPR65"	"CCR1"	"STAP1"	"CTSW"	"CXCR2"	"CBX3"	"CD247"	"CD3D"	"CD5"	"CD40"	"HLA-DQA1"	"CLEC10A"	"DOK3"	"RAMP3"	"ISLR"
"CD79A"	"KLRF1"	"CCR7"	"LRMP"	"CD80"	""	"CXCR6"	"FPR1"	"CCR2"	"CD300A"	"CD96"	"CD7"	"CD80"	"ITGAX"	"CLEC4E"	"ENTPD1"	"TFEC"	"ITIH3"
"CD79B"	"KLRK1"	"CD1C"	"NCF2"	"CD84"	""	"EOMES"	"FPR2"	"CCR7"	"CD3D"	"CST7"	"CTLA4"	"CD84"	"LILRA2"	"CLEC7A"	"FCRL2"	""	"LMOD1"
"CD80"	"NKG7"	"CD209"	"RGS1"	"CHI3L1"	""	"FASLG"	"HCK"	"CD2"	"CD3E"	"CTLA4"	"CXCR6"	"CLEC4E"	"MMP19"	"CSF1R"	"HSPA6"	""	"PRKG1"
